OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
157220,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015-10-09T00:00:00.000Z,Food Stand,18411,-78.87770701,35.75964934,M
157221,04092012113,China Chef,930 US Hwy 64 W,,APEX,NC,27502,(919) 468-8982,1997-08-08T00:00:00.000Z,Restaurant,117,0,0,U
157222,04092016524,ARANDAS MEXICAN CUISINE,5460 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-7363,2013-10-09T00:00:00.000Z,Restaurant,18404,0,0,U
157223,04092025204,Romeo's Pizza,800 W Williams ST ,Suite 160,Apex,NC,27502,(919) 355-2920,2018-08-30T00:00:00.000Z,Food Stand,16548,-78.86480181,35.73964723,M
157224,04092017670,"XL SIDELINE, LLC",106 INVESTMENT BLVD ,,APEX,NC,27502,(919) 387-2955,2017-08-23T00:00:00.000Z,Restaurant,11746,0,0,U
157225,04092022007,PUBLIX #1544 MEATS,1441 KELLY RD ,,APEX,NC,27502,(919) 303-6200,2017-02-06T00:00:00.000Z,Food Stand,12230,-78.89379203,35.73782787,M
157226,04092022006,PUBLIX #1544 SEAFOOD,1441 KELLY RD ,,APEX,NC,27502,(919) 303-6200,2017-02-06T00:00:00.000Z,Food Stand,12628,-78.89379203,35.73782787,M
157227,04092012835,Mcdonald's #17721,900 US 64 HWY ,,APEX,NC,27502,(919) 380-0906,1998-11-16T00:00:00.000Z,Restaurant,5575,0,0,U
157228,04092016820,DOHERTY'S IRISH PUB & RESTAURANT,5490 APEX PEAKWAY,,APEX,NC,27502,(919) 387-4100,2014-11-17T00:00:00.000Z,Restaurant,18931,0,0,U
157229,04092021109,Lowes Foods #184 Produce,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Food Stand,1236,0,0,U
157230,04092015008,IHOP #3181,1150 Beaver Creek Commons  Dr ,,APEX,NC,27502,(919) 387-8147,2007-11-14T00:00:00.000Z,Restaurant,5708,-78.87654743,35.74676581,M
157231,04092021939,DONOVAN'S DISH,800 W WILLIAMS ST ,STE 112,APEX,NC,27502,(919) 651-8309,2016-02-08T00:00:00.000Z,Food Stand,15350,-78.86480181,35.73964723,M
157232,04092021770,PAPA MURPHY'S NC#004,756 W WILLIAMS ST ,,APEX,NC,27502,(919) 249-4949 ext. 1,2013-12-11T00:00:00.000Z,Food Stand,21383,-78.86276064,35.73803218,M
157233,04092017029,LOS TRES MEXICAN RESTAURANT,1301 E WILLIAMS ST ,,APEX,NC,27502,(919) 367-6797,2015-09-16T00:00:00.000Z,Restaurant,11403,-78.84117412,35.71702832,M
157234,04092016069,SUBWAY #29952,5412 APEX PEAKWAY ,,Apex,NC,27502,(919) 362-7976,2011-12-15T00:00:00.000Z,Restaurant,6609,0,0,U
157235,04092017478,PINOT'S PALETTE,1553 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 296-1741,2016-12-09T00:00:00.000Z,Restaurant,10989,-78.88668196,35.74520682,M
157236,04092014295,Chili's,1120 Beaver Creek Commons Drive ,,APEX,NC,27502,(919) 387-7701,2005-03-30T00:00:00.000Z,Restaurant,18127,-78.87450516,35.74628844,M
157237,04092014686,Longhorn Steakhouse #277,1411 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 303-4889,2006-09-22T00:00:00.000Z,Restaurant,15354,-78.88323254,35.74554013,M
157238,04092018000,Vegan Community Kitchen,803 E Williams ST ,,Apex,NC,27502,(919) 372-5027,2018-12-14T00:00:00.000Z,Restaurant,18882,-78.84409422,35.72219594,M
157239,04092021318,Harris Teeter #58 Produce,750 W Williams ST ,,APEX,NC,27502,(919) 362-3782,2005-04-13T00:00:00.000Z,Food Stand,18126,-78.86276064,35.73803218,M
157240,04092014694,Brueggers's Bagels,760 W Williams ST ,,APEX,NC,27502,(919) 367-7720,2006-09-29T00:00:00.000Z,Restaurant,15356,-78.86276064,35.73803218,M
157241,04092017830,DUNKIN DONUTS 344467,800 PERRY RD ,,APEX,NC,27502,(919) 303-5800,2018-04-25T00:00:00.000Z,Restaurant,15597,-78.84460695,35.7208474,M
157242,04092040335,WICKED LINKS #5 (WCID #567),1101 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 855-8548,2015-12-07T00:00:00.000Z,Pushcarts,18864,-78.87546661,35.74471718,M
157243,04092014346,CARRABBA'S ITALIAN GRILL #8412,1201 HADDON HALL DR ,,APEX,NC,27502,(919) 387-6336,2005-07-01T00:00:00.000Z,Restaurant,7971,-78.87101375,35.74215088,M
157244,04092017855,HWY 55 OF APEX,802 PERRY RD ,,APEX,NC,27502,(919) 303-3533,2018-06-05T00:00:00.000Z,Restaurant,18053,-78.84460695,35.7208474,M
157245,04092021201,Middle Creek Park,151 Middle Creek Park Ln ,,APEX,NC,27502,(919) 427-9891,2003-06-23T00:00:00.000Z,Food Stand,3454,0,0,U
157246,04092021589,WALMART DELI #3889,3151 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-3737,2009-10-05T00:00:00.000Z,Food Stand,7996,0,0,U
157247,04092017278,WENDYS 6301,790 W Williams ST ,,APEX,NC,27502,(919) 367-9483,2016-08-05T00:00:00.000Z,Restaurant,16397,-78.86423063,35.73836329,M
157248,04092025146,Harris Teeter #58 Starbucks,750 W Williams ST ,,Apex,NC,27502,(919) 362-3782,2017-10-11T00:00:00.000Z,Food Stand,14167,-78.86276064,35.73803218,M
157249,04092020999,Food Lion #1496 Deli ,1777 W Williams ST ,,APEX,NC,27502,(919) 392-1986,2000-12-31T00:00:00.000Z,Food Stand,7031,-78.87770701,35.75964934,M
157250,04092015748,SUSHI IWA APEX,2026 CREEKSIDE LANDING DR ,,APEX,NC,27502,(919) 387-7022,2011-06-15T00:00:00.000Z,Restaurant,11371,-78.88323254,35.74554013,M
157251,04092015179,HOLIDAY INN EXPRESS,1006 MARCO DR ,,APEX,NC,27502,(919) 387-3636,2008-07-22T00:00:00.000Z,Restaurant,2845,-78.84034017,35.7170455,M
157252,04092160022,Spring Arbor Of Apex Foodservice,901 Spring Arbor Ct,,APEX,NC,27502,(919) 303-9997,2003-06-30T00:00:00.000Z,Institutional Food Service,5460,-78.8646915,35.73535765,M
157253,04092012026,Jersey Mikes Subs,922 Us 64 Hwy ,,APEX,NC,27502,(919) 467-3900,1997-03-17T00:00:00.000Z,Restaurant,4720,0,0,U
157254,04092014368,Firehouse Subs,1047 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 367-0111,2005-08-15T00:00:00.000Z,Restaurant,21240,-78.87238568,35.74374477,M
157255,04092017480,BREW N QUE,2045 CREEKSIDE LANDING DR ,,APEX,NC,27502,(919) 924-9295,2016-11-23T00:00:00.000Z,Restaurant,12823,-78.88668196,35.74520682,M
157256,04092017570,MICHELANGELOS PIZZA,928 US HWY 64 ,,APEX,NC,27502,(919) 462-8880,2017-04-12T00:00:00.000Z,Restaurant,21230,0,0,U
157257,04092017124,J & S NEW YORK PIZZA,804 PERRY RD ,,APEX,NC,27502,(919) 363-0071,2015-12-28T00:00:00.000Z,Restaurant,12504,-78.84460695,35.7208474,M
157258,04092021322,Harris Teeter #58 Meat/Seafood,750 W Williams ST ,,APEX,NC,27502,(919) 362-3782,2005-04-13T00:00:00.000Z,Food Stand,17435,-78.86276064,35.73803218,M
157259,04092025229,Domino's #8908,833 Perry RD ,,APEX,NC,27502,(919) 387-0030,2018-12-17T00:00:00.000Z,Food Stand,10513,-78.84486569,35.719727,M
157260,04092017724,Glory Days Grill,1413 Kelly RD ,,Apex,NC,27502,(919) 434-3726,2017-11-08T00:00:00.000Z,Restaurant,8140,-78.89379203,35.73782787,M
157261,04092016126,PANERA BREAD #1650,1001 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 589-0026,2012-03-27T00:00:00.000Z,Restaurant,6328,-78.87238568,35.74374477,M
157262,04092013947,Subway,809 E Williams St ,,APEX,NC,27502,(919) 632-1102,2002-11-13T00:00:00.000Z,Restaurant,5803,-78.84409422,35.72219594,M
157263,04092015222,ANNA'S PIZZERIA,100 N SALEM ST ,,APEX,NC,27502,(919) 267-6237,2008-09-15T00:00:00.000Z,Restaurant,10920,-78.85126459,35.73076866,M
157264,04092017546,ABBEY ROAD TAVERN & GRILL APEX,1700 CENTER ST ,,APEX,NC,27502,(919) 372-5383,2017-03-08T00:00:00.000Z,Restaurant,8178,-78.82753664,35.72521642,M
157265,04092030387,Doherty's Fish & Chips Paddy Wagon (WCID #663),5490 Apex Peakway ,,APEX,NC,27502,(919) 454-4591,2019-01-11T00:00:00.000Z,Mobile Food Units,17907,0,0,U
157266,04092015058,Bojangles #39,1581 E Williams ST ,,APEX,NC,27502,(919) 362-6796,2008-02-01T00:00:00.000Z,Restaurant,6966,-78.83501432,35.70601048,M
157267,04092020681,A & K Food Mart #2,601 W Williams St ,P.O. BOX 220,APEX,NC,27502,(919) 303-5101,1995-10-17T00:00:00.000Z,Food Stand,6625,-78.86345442,35.73622526,M
157268,04092017018,FOOD LION #1338 DELI,620 LAURA DUNCAN RD ,,APEX,NC,27502,(919) 362-3904,2015-09-01T00:00:00.000Z,Restaurant,13648,-78.84201223,35.73509961,M
157269,04092015960,CAMBRIDGE VILLAGE DINING,10000 Cambridge Village Loop,,APEX,NC,27502,(919) 363-2080,2011-05-10T00:00:00.000Z,Restaurant,10020,-78.84579127,35.71810568,M
157270,04092018218,PEAK ON SALEM,126 N Salem ST ,,APEX,NC,27502,(919) 446-6060,2019-11-06T00:00:00.000Z,Restaurant,18750,-78.85065754,35.73152951,M
157271,04092014842,Panda Express #1352,1000 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 362-6369,2007-04-05T00:00:00.000Z,Restaurant,13185,-78.87317907,35.74519928,M
157272,04092022005,PUBLIX #1544 PRODUCE,1441 KELLY RD ,,APEX,NC,27502,(919) 303-6200,2017-02-06T00:00:00.000Z,Food Stand,21192,-78.89379203,35.73782787,M
157273,04092013502,Lowes Foods #184 (Deli),5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002-01-08T00:00:00.000Z,Restaurant,5455,0,0,U
157274,04092300175,Food Lion #1496 Meat Market ,1777 W Williams ST ,,APEX,NC,27502,,2000-07-01T00:00:00.000Z,Meat Market,17694,-78.87770701,35.75964934,M
157275,04092018214,Culver's of Apex #730,1401 KELLY RD,,APEX,NC,27502,(919) 372-5610,2019-11-04T00:00:00.000Z,Restaurant,18747,-78.89533544,35.73714061,M
157276,04092014704,Red Robin #571,1431 Beaver Creek Commons ,,APEX,NC,27502,(919) 363-8599,2006-10-09T00:00:00.000Z,Restaurant,19183,-78.8826304,35.74733721,M
157277,04092016680,SCHLOTZSKY'S,906 US 64 HWY W ,,APEX,NC,27502,,2014-04-30T00:00:00.000Z,Restaurant,12814,-78.82280214,35.74468924,M
157278,04092017200,SOUTHERN PEAK BREWERY,950-100 WINDY RD ,,APEX,NC,27502,(919) 314-7300,2016-04-08T00:00:00.000Z,Restaurant,21163,-78.84382331,35.74652946,M
157279,04092110525,Apex Friendship Middle School Cafeteria,7701 Humie Olive RD ,,APEX,NC,27502,,2018-07-19T00:00:00.000Z,Public School Lunchrooms,17604,-78.91074252,35.70028019,M
157280,04092021686,HUNT BROTHERS PIZZA,321 S SALEM ST ,,APEX,NC,27502,(919) 362-7134,2011-09-01T00:00:00.000Z,Food Stand,5412,-78.85352033,35.72724081,M
157281,04092012979,Jersey Mikes Restaurant,1761 W Williams ST ,,APEX,NC,27502,(919) 363-6453,1999-07-21T00:00:00.000Z,Restaurant,1643,-78.87770701,35.75964934,M
157282,04092013637,Tacos Mexico Restaurant,209 E Williams St ,,APEX,NC,27502,(919) 362-8074,2002-08-12T00:00:00.000Z,Restaurant,687,-78.85166433,35.72667689,M
157283,04092016968,SULTAN'S DELI,1459 BEAVER CREEK CROSSING ,,APEX,NC,27502,(919) 367-6007,2015-07-31T00:00:00.000Z,Restaurant,8916,0,0,U
157284,04092016087,YAMATO,700 E WILLIAMS ST ,,APEX,NC,27502,(919) 303-8088,2012-01-17T00:00:00.000Z,Restaurant,9727,-78.84651301,35.7236133,M
157285,04092030376,Trash Talk (WCID #315),2835 Milano AVE ,,APEX,NC,27502,(919) 337-5137,2018-08-09T00:00:00.000Z,Mobile Food Units,14041,-78.91723328,35.71512113,M
157286,04092017699,THE WAKE ZONE ESPRESSO,6108 Old Jenks  RD ,,APEX,NC,27502,(919) 267-4622,2017-10-30T00:00:00.000Z,Restaurant,21123,-78.84889231,35.7538731,M
157287,04092017149,AJ'S FOOD MART,6204 TEN TEN RD ,,APEX,NC,27502,(919) 779-3900,2016-02-18T00:00:00.000Z,Restaurant,14595,-78.73671669,35.67669886,M
157288,04092015002,BAAN THAI RESTAURANT,758 WILLIAMS ST ,,APEX,NC,27502,,2007-11-09T00:00:00.000Z,Restaurant,12301,-78.86464087,35.73807755,M
157289,04092014123,New Wangs Kitchen,712 Laura Duncan RD ,,APEX,NC,27502,(919) 363-8030,2004-08-27T00:00:00.000Z,Restaurant,6352,-78.84201223,35.73509961,M
157290,04092017052,NOODLES & COMPANY #866,1055 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 362-9153,2015-10-09T00:00:00.000Z,Restaurant,19957,-78.87238568,35.74374477,M
157291,04092017327,Chipotle  #2822,1081 PINE PLAZA DR ,,APEX,NC,27502,(919) 362-5435,2016-09-20T00:00:00.000Z,Restaurant,21114,-78.82939266,35.74657076,M
157292,04092030416,Paco's Tacos Catering & Breakfast Wagon (WCID #703),518 E Williams ST ,,APEX,NC,27502,(919) 633-5880,2019-05-09T00:00:00.000Z,Mobile Food Units,8429,-78.84778574,35.72374776,M
157293,04092018056,Peak of the Vine,301 N Salem ST ,Ste. 102,Apex,NC,27502,(919) 267-9828,2019-02-19T00:00:00.000Z,Restaurant,16673,-78.85046886,35.73305629,M
157294,04092016546,RUDY'S PUB & GRILL,780 W Williams ST ,,APEX,NC,27502,(919) 303-5061,2013-11-15T00:00:00.000Z,Restaurant,18641,-78.86276064,35.73803218,M
157295,04092015448,CICI'S PIZZA,1007 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 249-6448,2009-08-11T00:00:00.000Z,Restaurant,16924,-78.87238568,35.74374477,M
157296,04092110504,APEX FRIENDSHIP HIGH SCHOOL CAFETERIA,7901 HUMIE OLIVE RD ,,APEX,NC,27502,,2015-05-22T00:00:00.000Z,Public School Lunchrooms,16301,-78.91074252,35.70028019,M
157297,04092110505,SCOTTS RIDGE ELEMENTARY CAFETERIA,6601 APEX BARBEQUE RD ,,APEX,NC,27502,,2015-07-31T00:00:00.000Z,Public School Lunchrooms,15110,0,0,U
157298,04092016391,MOE'S SOUTHWEST GRILL #838,770  W WILLIAMS ST ,,APEX,NC,27502,(919) 303-0061,2013-03-20T00:00:00.000Z,Restaurant,6489,-78.86276064,35.73803218,M
157299,04092017150,ARBYS #6768,1500 E WILLIAMS ST ,,APEX,NC,27502,(919) 323-0295,2016-02-22T00:00:00.000Z,Restaurant,16652,-78.83904369,35.71089517,M
157300,04092160071,BROOKRIDGE ASSISTED LIVING FOODSERVICE,312 LYNCH ST ,P O BOX 1138,APEX,NC,27502,(919) 362-6266,2009-07-13T00:00:00.000Z,Institutional Food Service,6341,-78.85933747,35.72655728,M
157301,04092015237,QDOBA MEXICAN GRILL #215,1005 BEAVER CREEK COMMONS ,,APEX,NC,27502,(919) 362-8737,2008-09-24T00:00:00.000Z,Restaurant,6340,-78.87238435,35.74509286,M
157302,04092014456,#1 CHINA,764 W Williams ST ,,APEX,NC,27502,(919) 362-6887,2005-12-27T00:00:00.000Z,Restaurant,4065,-78.86276064,35.73803218,M
157303,04092021909,FOOD LION #1338 PRODUCE,620 LAURA DUNCAN RD ,,APEX,NC,27502,(919) 362-3904,2015-11-02T00:00:00.000Z,Food Stand,9587,-78.84201223,35.73509961,M
157304,04092021934,CIRCLE K #2720457,705 E WILLIAMS ST ,,APEX,NC,27502,(919) 362-1164,2016-02-24T00:00:00.000Z,Food Stand,17852,-78.84527736,35.72350124,M
157305,04092012231,Knights Play Golf Center,2512 Ten Ten Rd,,APEX,NC,27502,(919) 303-3747,1998-04-27T00:00:00.000Z,Restaurant,966,-78.81416503,35.71128448,M
157306,04092017140,PIZZA HUT #9215,301-105 N SALEM ST ,,APEX,NC,27502,(919) 267-4517,2016-02-05T00:00:00.000Z,Restaurant,17850,-78.85306067,35.7286054,T
157307,04092110137,Apex Elementary Cafeteria,700 Tingen Rd ,,APEX,NC,27502,(919) 387-2150,2003-08-06T00:00:00.000Z,Public School Lunchrooms,3943,-78.85703339,35.720967,M
157308,04092022004,PUBLIX #1544 DELI,1441 KELLY RD ,,APEX,NC,27502,(919) 303-6200,2017-02-06T00:00:00.000Z,Food Stand,8654,-78.89379203,35.73782787,M
157309,04092017771,Bawarchi Grill & Spirits,800 W Williams ST ,,Apex,NC,27502,(919) 363-9000,2017-12-29T00:00:00.000Z,Restaurant,9271,-78.86480181,35.73964723,M
157310,04092013689,Mr Dumpling,5470 Apex Peakway ,,APEX,NC,27502,(919) 387-7709,2002-10-21T00:00:00.000Z,Restaurant,3916,0,0,U
157311,04092017905,Scratch Kitchen and Taproom,225 N Salem ST ,Suite 127,Apex,NC,27502,(919) 372-5365,2018-08-22T00:00:00.000Z,Restaurant,12844,-78.8508764,35.73263171,M
157312,04092021319,Harris Teeter #58 Deli,750 W Williams ST ,,APEX,NC,27502,(919) 362-3782,2005-04-13T00:00:00.000Z,Food Stand,3866,-78.86276064,35.73803218,M
157313,04092040338,CAROLINA CLASSIC HOT DOGS #2 (WCID #549),309 HOLLOMAN ST ,,APEX,NC,27502,(919) 303-4790,2016-07-01T00:00:00.000Z,Pushcarts,13918,-78.85533016,35.73022008,M
157314,04092160041,Rex Nursing Care Of Apex Food Service,911 S Hughes St ,,APEX,NC,27502,(919) 363-6011,2003-06-17T00:00:00.000Z,Institutional Food Service,19503,-78.84777032,35.71882243,M
157315,04092021866,FOOD LION #1338 MEAT/SEAFOOD,620 LAURA DUNCAN RD ,,APEX,NC,27502,(919) 362-3904,2015-08-17T00:00:00.000Z,Food Stand,21621,-78.84201223,35.73509961,M
157316,04092014554,KFC #J120103,1403 W Williams ST,,APEX,NC,27502,(919) 303-7997,2006-04-25T00:00:00.000Z,Restaurant,10047,-78.87726967,35.7501529,M
157317,04092014165,Super Target #1932 Food Avenue,1201 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 372-1405,2004-10-05T00:00:00.000Z,Restaurant,2633,-78.87777438,35.74487977,M
157318,04092014398,Skipper's Fish Fry and Market,1001 E Williams ST ,,APEX,NC,27502,(919) 303-2400,2005-09-30T00:00:00.000Z,Restaurant,13828,-78.84350423,35.7211123,M
157319,04092017916,DELL/EMC2,5800 TECHNOLOGY  DR ,,APEX,NC,27502,(978) 317-8672,2018-09-10T00:00:00.000Z,Restaurant,21442,-78.84431049,35.69286556,M
157320,04092017042,BELGIAN CAFE,1232 W WILLIAMS ST ,,APEX,NC,27502,(919) 372-5128,2015-09-24T00:00:00.000Z,Restaurant,18412,-78.87260887,35.74617982,M
157321,04092110009,Baucom Elem. Sch. Cafeteria,400 HUNTER ST ,,APEX,NC,27502-1320,(919) 387-2175,1991-09-17T00:00:00.000Z,Public School Lunchrooms,19756,-78.85424336,35.73741961,M
157322,04092012051,La Rancherita,102 N SALEM ST ,,APEX,NC,27502-1428,(919) 303-2448,1997-05-06T00:00:00.000Z,Restaurant,620,-78.85126459,35.73076866,M
157323,04092110010,Apex Middle School Cafeteria,400 E MOORE ST ,,APEX,NC,27502-1927,(919) 387-2194,1991-09-17T00:00:00.000Z,Public School Lunchrooms,5336,-78.84784964,35.72574966,M
157324,04092030432,Panchos Tacos Y Tortas (WCID #718),209 E WILLIAMS ST,,APEX,NC,27502-2144,(919) 924-2772,2019-07-29T00:00:00.000Z,Mobile Food Units,14922,-78.85166433,35.72667689,M
157325,04092300260,COMPARE FOODS MARKET,301 E WILLIAMS ST ,,APEX,NC,27502-2146,(919) 362-7949,2013-01-24T00:00:00.000Z,Meat Market,9992,-78.85082083,35.72639685,M
157326,04092016582,APEX WINGS,518 E WILLIAMS ST ,,APEX,NC,27502-2151,(919) 387-0082,2013-12-20T00:00:00.000Z,Restaurant,11734,-78.84778574,35.72374776,M
157327,04092010204,Dallas Fried Chicken,1101 E WILLIAMS ST ,,APEX,NC,27502-2162,(919) 362-0051,1991-05-03T00:00:00.000Z,Restaurant,2288,-78.8432412,35.72049646,M
157328,04092012834,Mcdonald's #18969,1305 E WILLIAMS ST,,APEX,NC,27502-2188,(919) 362-5890,1998-11-16T00:00:00.000Z,Restaurant,2225,-78.84062903,35.71592776,M
157329,04092018167,Mustang Charlie's,1501 N SALEM ST ,,APEX,NC,27502-2933,(704) 425-8003,2019-08-30T00:00:00.000Z,Restaurant,18417,-78.85363723,35.74825575,M
157330,04092021148,Papa John's,1238 W WILLIAMS ST ,,APEX,NC,27502-3953,(919) 303-9100,2002-09-25T00:00:00.000Z,Food Stand,1603,-78.87260887,35.74617982,M
157331,04092110109,Olive Chapel Elementary Cafeteria,1751 OLIVE CHAPEL RD ,,APEX,NC,27502-4862,(919) 387-4449,1997-08-14T00:00:00.000Z,Public School Lunchrooms,15682,-78.89411999,35.73464019,M
157332,04092025286,Marco's Pizza #8403,1487 KELLY RD,,APEX,NC,27502-9572,(919) 446-5555,2019-10-25T00:00:00.000Z,Restaurant,15693,-78.89528261,35.73603924,M
157333,04092030359,Buoy Bowls #2 (WCID #630),2305 Speckled Alder CT ,,APEX,NC,27523,(919) 520-7748,2018-04-09T00:00:00.000Z,Mobile Food Units,12397,-78.88006476,35.75731862,M
157334,04092030335,HOT CHIX (WCID # 602),886 QUEEN CITY CRESCENT ,,APEX,NC,27523,(919) 578-1441,2017-05-19T00:00:00.000Z,Mobile Food Units,11066,-78.88614509,35.74908285,M
157335,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T00:00:00.000Z,Restaurant,11478,-78.82726689,35.7464159,M
157336,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T00:00:00.000Z,Food Stand,10052,-78.82726689,35.7464159,M
157337,04092110471,Laurel Park Lunch Room,2450 Laura Duncan  RD ,,APEX,NC,27523,(919) 290-2333,2008-07-03T00:00:00.000Z,Public School Lunchrooms,4931,-78.82634024,35.75915424,M
157338,04092018128,Harris Teeter #496 Starbucks,940 US 64 HWY W,,APEX,NC,27523,,2019-07-15T00:00:00.000Z,Food Stand,13805,-78.82197042,35.74562504,M
157339,04092017619,STARBUCKS #29148,1101 PINE PLAZA DR ,,APEX,NC,27523,(919) 338-3360,2017-06-08T00:00:00.000Z,Restaurant,11331,-78.83026568,35.74675449,M
157340,04092017551,"RUCKUS PIZZA, PASTA & SPIRITS APEX",1055 PINE PLAZA DR ,,APEX,NC,27523,(919) 446-6333,2017-03-13T00:00:00.000Z,Restaurant,18495,-78.82904737,35.74743591,M
157341,04092017334,FIVE GUYS #1797,1075 PINE PLAZA BLVD ,,APEX,NC,27523,(919) 616-0011,2016-09-26T00:00:00.000Z,Restaurant,9669,-78.82927887,35.747847,M
157342,04092017585,MCALISTER'S DELI #100958,1061 PINE PLAZA DR ,,APEX,NC,27523,(919) 362-6518,2017-04-27T00:00:00.000Z,Restaurant,20108,-78.82939266,35.74657076,M
157343,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016-03-14T00:00:00.000Z,Food Stand,7414,-78.82726689,35.7464159,M
157344,04092021933,CIRCLE K #3795,1410 W Williams  ST ,,APEX,NC,27523,(919) 363-4582,2016-02-24T00:00:00.000Z,Food Stand,12435,-78.87632927,35.75184697,M
157345,04092017694,THE PIZZA DUDE,1763 W WILLIAMS ST ,,APEX,NC,27523,(919) 303-6686,2017-10-10T00:00:00.000Z,Restaurant,11564,-78.87770701,35.75964934,M
157346,04092110141,Salem Middle School Cafeteria,6150 Old Jenks Rd ,,APEX,NC,27523,(919) 387-2181,2003-07-30T00:00:00.000Z,Public School Lunchrooms,840,-78.84900532,35.75828373,M
157347,04092030314,BUOY BOWLS (WCID #573),2305 SPECKLED ALDER CT ,,APEX,NC,27523,(919) 550-7748,2016-09-28T00:00:00.000Z,Mobile Food Units,8993,-78.88006476,35.75731862,M
157348,04092025277,Apex High School Culinary Arts,1501 LAURA DUNCAN RD,,APEX,NC,27523-1539,,2019-08-01T00:00:00.000Z,Food Stand,16314,-78.83840825,35.74580089,M
157349,04092021931,Circle K   #0846,1800 LAURA DUNCAN RD ,,APEX,NC,27523-1564,(919) 387-7984,2016-02-29T00:00:00.000Z,Food Stand,12198,-78.83458707,35.74814473,M
157350,04092018105,Zaxby's #69201,1171 PINE PLAZA DR,,APEX,NC,27523-6408,,2019-05-31T00:00:00.000Z,Restaurant,18171,-78.83219078,35.7473816,M
